,Property ID,Postal code,price,Type of property,Construction year,Number of rooms,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
0,20394069,3300,184000,apartment,1972.0,2.0,81.0,1,,,22.0,,4.0,,To renovate,202.0,Gas,Non flood zone,Yes,755.0
1,20393142,9400,299000,apartment,2006.0,3.0,153.0,Installed,,,6.0,,2.0,,Good,92.0,Fuel oil,Non flood zone,Yes,1054.0
2,20393714,9600,465000,house,1962.0,4.0,389.0,Hyper equipped,,1.0,22.0,650.0,4.0,,To be done up,175.0,Gas,Non flood zone,Yes,1971.0
3,20394068,1000,210000,apartment,2013.0,1.0,59.0,Installed,1.0,,3.0,,2.0,,Good,234.0,Electric,Possible flood zone,Yes,920.0
4,20394202,2300,299000,apartment,2006.0,3.0,114.0,Semi equipped,,,4.0,,,,Good,147.0,Gas,Non flood zone,Yes,
5,20393411,2000,498500,apartment,2017.0,2.0,129.0,Hyper equipped,0.0,,10.0,1400.0,,,As new,61.0,Gas,Non flood zone,Yes,1190.0
6,20391562,2170,155000,apartment,1968.0,1.0,73.0,Semi equipped,,,11.0,,2.0,,To be done up,187.0,Gas,Non flood zone,,793.0
7,20393997,1060,265000,apartment,1960.0,2.0,63.0,Not installed,,,,,2.0,0.0,Just renovated,419.0,,Non flood zone,,
8,20393133,9500,384000,apartment,1969.0,3.0,252.0,Installed,,,,,2.0,,Good,184.0,Gas,Non flood zone,Yes,775.0
9,20392783,9600,465000,house,1992.0,4.0,324.0,Hyper equipped,0.0,,20.0,340.0,3.0,0.0,Good,170.0,Gas,Non flood zone,Yes,1290.0
10,20394238,3700,490000,house,2003.0,4.0,406.0,1,,,,390.0,4.0,,As new,126.0,Fuel oil,Non flood zone,Yes,1144.0
11,20394236,8434,370000,apartment,1991.0,2.0,74.0,Installed,1.0,,,,,,Good,167.0,Electric,Non flood zone,Yes,989.0
