,Property ID,Postal code,price,Type of property,Construction year,Number of rooms,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
0,20401029,2600,299900,apartment,1965.0,3.0,100.0,Installed,,,3.0,,,,Good,144.0,Fuel oil,Non flood zone,Yes,892.0
1,20402124,9140,285000,apartment,1976.0,3.0,100.0,Installed,,,,,2.0,,Good,131.0,Gas,Non flood zone,Yes,941.0
2,20400229,9300,229000,apartment,2000.0,2.0,86.0,Installed,,,4.0,,2.0,,Good,99.0,Gas,Non flood zone,Yes,847.0
3,20402255,6800,235000,house,1900.0,3.0,156.0,Semi equipped,0.0,,,587.0,4.0,0.0,Good,430.0,Fuel oil,Non flood zone,Yes,718.0
4,20402253,8370,189000,apartment,,1.0,,Hyper equipped,,,1.0,,2.0,0.0,As new,278.0,Gas,Non flood zone,Yes,768.0
5,20402250,2020,226000,apartment,1965.0,3.0,93.0,Semi equipped,,,10.0,,3.0,,To be done up,166.0,Gas,,,
6,20402249,9080,550000,house,1970.0,4.0,320.0,Semi equipped,,1.0,,,4.0,,To renovate,417.0,Gas,Non flood zone,,1276.0
7,20338557,3040,674000,house,2024.0,4.0,193.0,,,,,,3.0,,,20.0,,Non flood zone,Yes,
8,20402248,9940,225000,house,,2.0,,1,0.0,,,217.0,4.0,,,742.0,,Non flood zone,Yes,
9,20402246,4250,215000,house,,3.0,160.0,1,,,20.0,850.0,4.0,,To renovate,,Fuel oil,Non flood zone,Yes,466.0
10,20289045,1800,322101,apartment,,2.0,100.0,,,,17.0,,,,,,,,Yes,
11,20289567,1800,339552,apartment,,3.0,125.0,,,,12.0,,,,,,,,Yes,
12,20232847,4000,199000,house,,3.0,97.0,Installed,,,,,2.0,,,190.0,Gas,,Yes,550.0
13,20402233,4400,215000,house,,3.0,160.0,,0.0,,10.0,,3.0,,,323.0,Gas,,Yes,1.0
14,20402229,8800,235000,house,,3.0,165.0,1,,,,,,,To restore,565.0,Gas,,Yes,659.0
15,20402228,8560,225000,house,,3.0,184.0,,,,,,,,Good,728.0,,Non flood zone,Yes,
16,20402227,2650,229000,apartment,1970.0,2.0,83.0,Semi equipped,,,,51.0,2.0,,,208.0,Gas,Non flood zone,,
17,20402221,1120,295000,apartment,1974.0,2.0,95.0,Semi equipped,,,32.0,,2.0,,To be done up,344.0,,,,
18,20402219,1390,675000,house,,3.0,190.0,Semi equipped,,1.0,100.0,,4.0,,To renovate,340.0,Fuel oil,,Yes,2607.0
19,20402218,4850,395359,house,2024.0,3.0,168.0,Not installed,0.0,,40.0,370.0,2.0,0.0,As new,,Gas,Possible flood zone,Yes,
20,20402215,3600,239000,apartment,1991.0,2.0,93.0,,0.0,,,,2.0,0.0,,198.0,Electric,,Yes,924.0
21,20402214,8800,468990,apartment,2024.0,3.0,123.0,,0.0,,46.0,,3.0,0.0,Good,,,,No,1.0
22,20326253,4400,215000,house,,3.0,160.0,,0.0,,10.0,,3.0,,,323.0,Gas,,Yes,1.0
23,20402212,1050,418000,apartment,,2.0,92.0,Hyper equipped,0.0,,,,3.0,0.0,Good,159.0,Gas,Non flood zone,,655.0
24,20402211,6183,139000,house,,2.0,105.0,,,,,,2.0,,To be done up,478.0,Gas,,Yes,401.0
25,20402208,6182,295000,house,,3.0,150.0,Installed,,,1.0,600.0,2.0,0.0,Good,229.0,Gas,,Yes,431.0
26,20397772,1050,695000,apartment,1932.0,2.0,150.0,Installed,0.0,,,,2.0,0.0,Just renovated,236.0,Gas,Non flood zone,Yes,2000.0
27,20401109,3120,319000,house,1956.0,3.0,185.0,Semi equipped,,,20.0,260.0,,,To renovate,499.0,Fuel oil,Non flood zone,Yes,903.0
28,20399686,9600,370000,house,2020.0,3.0,150.0,Installed,,,,360.0,3.0,,Good,67.0,Gas,Non flood zone,Yes,791.0
29,20401344,8430,115000,apartment,1969.0,1.0,26.0,Semi equipped,1.0,,,,2.0,,Just renovated,265.0,Gas,Non flood zone,Yes,327.0
30,20401336,9600,230000,apartment,1952.0,2.0,128.0,Installed,,,4.0,,3.0,,Just renovated,326.0,Fuel oil,Non flood zone,Yes,857.0
31,20398282,1190,215000,apartment,1964.0,1.0,63.0,Not installed,0.0,,5.0,,2.0,0.0,To renovate,215.0,Gas,Non flood zone,Yes,
32,20396673,9000,435000,apartment,1759.0,1.0,67.0,Installed,,,15.0,31.0,,,Good,78.0,Gas,Non flood zone,Yes,
33,20401180,4683,149000,house,1850.0,4.0,134.0,Installed,0.0,,40.0,570.0,2.0,0.0,To be done up,220.0,Gas,Non flood zone,Yes,366.0
34,20401037,2660,349900,house,1960.0,3.0,136.0,1,,,16.0,25.0,,,To renovate,534.0,,Non flood zone,Yes,959.0
35,20397088,1081,325000,apartment,1967.0,3.0,151.0,Installed,0.0,,7.0,,2.0,0.0,Good,208.0,Fuel oil,Non flood zone,Yes,1891.0
36,20393411,2000,498500,apartment,2017.0,2.0,129.0,Hyper equipped,0.0,,10.0,1400.0,,,As new,61.0,Gas,Non flood zone,Yes,1190.0
37,20394756,9690,179000,house,1965.0,3.0,160.0,Semi equipped,,,,380.0,3.0,,To renovate,422.0,Gas,Non flood zone,Yes,
38,20402204,5670,39000,house,,1.0,58.0,Semi equipped,0.0,,,,2.0,,,857.0,Wood,,No,138.0
39,20402205,6040,188000,house,1963.0,2.0,73.0,Installed,0.0,,73.0,,2.0,,,721.0,Gas,,No,1714.0
40,20402195,1070,325000,apartment,1958.0,3.0,132.0,Installed,0.0,,3.0,,3.0,,,,Gas,,Yes,
41,20356543,4540,200000,house,,5.0,223.0,,,,,,,,,539.0,,,,
42,20366637,6040,199990,house,,5.0,,Hyper equipped,,,,,2.0,,,220.0,,Non flood zone,Yes,669.0
43,20402194,9190,385000,apartment,2024.0,2.0,122.0,Installed,,,25.0,,3.0,,,133.0,Gas,Non flood zone,,
44,20402191,6001,120000,apartment,1966.0,4.0,120.0,Semi equipped,0.0,,,,4.0,0.0,Good,327.0,Fuel oil,Non flood zone,,
45,20402189,8800,258250,apartment,2024.0,2.0,83.0,,0.0,,11.0,,2.0,0.0,Good,,,,No,1.0
46,20402182,8400,289000,apartment,,2.0,134.0,,1.0,,4.0,,,,As new,139.0,,,,
47,20402181,4217,850000,house,1874.0,4.0,690.0,Hyper equipped,,,,,2.0,,To renovate,505.0,Pellet,Non flood zone,Yes,766.0
48,20402179,2260,439000,house,1988.0,3.0,120.0,,,,,,4.0,,Good,209.0,Gas,,Yes,
49,20402177,3941,549000,house,1987.0,4.0,285.0,Hyper equipped,,,,,4.0,,As new,194.0,Gas,,,
50,20402176,6180,249000,house,,3.0,148.0,Installed,0.0,,,800.0,2.0,0.0,Good,409.0,Fuel oil,Non flood zone,Yes,540.0
51,20402170,1480,215000,apartment,1969.0,2.0,85.0,Installed,0.0,,,,,0.0,Good,204.0,,,Yes,1041.0
52,20402166,5621,234000,house,,3.0,135.0,Installed,0.0,,,,2.0,0.0,Good,349.0,Pellet,,Yes,498.0
53,20402164,8800,719795,house,,4.0,,,,,,,4.0,,As new,,,Non flood zone,,
54,20397989,6020,120000,house,,3.0,120.0,,0.0,,,,3.0,,To be done up,448.0,,,,
55,20402156,9800,319000,house,2007.0,3.0,121.0,Installed,,,,,2.0,,Good,168.0,Gas,,Yes,338.0
56,20402157,9700,397000,house,2023.0,3.0,160.0,Hyper equipped,,,,,4.0,,,,,Non flood zone,Yes,
57,20402155,1090,242500,apartment,,2.0,,Semi equipped,,,,,,0.0,Good,666.0,,,,
58,20402145,9500,489000,house,,5.0,238.0,Hyper equipped,,,,,3.0,,,9.0,,,Yes,
59,20402147,9500,399000,house,,4.0,256.0,Installed,,,,,2.0,,As new,173.0,Gas,,Yes,
60,20402144,9500,275000,house,,4.0,199.0,Installed,,,46.0,234.0,3.0,,Good,834.0,Electric,,Yes,644.0
61,20402143,1540,475000,house,1978.0,3.0,228.0,Installed,,,,,4.0,,As new,188.0,Gas,,Yes,
62,20394069,3300,184000,apartment,1972.0,2.0,81.0,1,,,22.0,,4.0,,To renovate,202.0,Gas,Non flood zone,Yes,755.0
63,20393142,9400,299000,apartment,2006.0,3.0,153.0,Installed,,,6.0,,2.0,,Good,92.0,Fuel oil,Non flood zone,Yes,1054.0
64,20400912,1850,710000,house,1990.0,4.0,184.0,Installed,,,,1000.0,4.0,,Good,116.0,,Non flood zone,Yes,2015.0
65,20401968,8370,285000,apartment,2008.0,2.0,77.0,Installed,,,,,2.0,,Good,75.0,Gas,Non flood zone,Yes,876.0
66,20401547,2000,319000,apartment,1955.0,1.0,85.0,Installed,,,,,2.0,,As new,355.0,Gas,Non flood zone,Yes,548.0
67,20400089,8710,259000,house,1930.0,3.0,223.0,Installed,,,,104.0,,,Good,259.0,Gas,Non flood zone,Yes,322.0
