,Property ID,Postal code,price,Type of property,Construction year,Number of rooms,Living area,kitchen,furnished,Open fire,Terrace,Garden,Number of facades,Swimming pool,State of builing,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
0,20401029,2600,299900,apartment,1965.0,3.0,100.0,Installed,,,3.0,,,,Good,144.0,Fuel oil,Non flood zone,Yes,892.0
1,20402124,9140,285000,apartment,1976.0,3.0,100.0,Installed,,,,,2.0,,Good,131.0,Gas,Non flood zone,Yes,941.0
2,20400229,9300,229000,apartment,2000.0,2.0,86.0,Installed,,,4.0,,2.0,,Good,99.0,Gas,Non flood zone,Yes,847.0
3,20401180,4683,149000,house,1850.0,4.0,134.0,Installed,0.0,,40.0,570.0,2.0,0.0,To be done up,220.0,Gas,Non flood zone,Yes,366.0
4,20390069,9190,275000,house,,3.0,120.0,Hyper equipped,,,30.0,150.0,3.0,,Good,117.0,Gas,Non flood zone,,561.0
5,20397088,1081,325000,apartment,1967.0,3.0,151.0,Installed,0.0,,7.0,,2.0,0.0,Good,208.0,Fuel oil,Non flood zone,Yes,1891.0
6,20403014,2200,239000,apartment,2016.0,1.0,53.0,Installed,,,30.0,,2.0,,,39.0,,Non flood zone,Yes,
7,10101807,7540,250000,house,2020.0,3.0,193.0,,,,,,3.0,,To restore,,,,Yes,
8,20403012,3440,639000,apartment,,2.0,192.0,Hyper equipped,0.0,,90.0,90.0,2.0,0.0,Just renovated,,Gas,Non flood zone,Yes,
9,20403011,5570,299000,house,2023.0,3.0,160.0,Installed,,,1.0,1.0,3.0,,As new,,Gas,,Yes,
10,20221908,2430,415000,house,2024.0,4.0,233.0,Hyper equipped,0.0,,,,3.0,,As new,24.0,,Non flood zone,Yes,
11,20402999,2940,799000,house,1976.0,5.0,228.0,Installed,,,,,4.0,,Good,176.0,Gas,Non flood zone,Yes,1965.0
12,20402997,1785,295000,apartment,2013.0,2.0,79.0,Installed,,,,,,,Good,69.0,Gas,,Yes,833.0
13,20402256,2660,325000,house,,2.0,175.0,Installed,,,11.0,82.0,,,Good,258.0,Gas,,Yes,763.0
14,20402996,2880,245000,house,1954.0,4.0,146.0,Semi equipped,,,,,2.0,,To be done up,322.0,Gas,Non flood zone,Yes,678.0
15,20402995,9300,295000,house,,4.0,218.0,,,,,,2.0,,,300.0,Gas,Non flood zone,,
16,20402994,1742,598000,house,1962.0,3.0,180.0,Installed,,,,,3.0,,Good,101.0,,Non flood zone,Yes,1245.0
17,20390498,9100,245000,apartment,2003.0,1.0,77.0,Semi equipped,,,,,2.0,,Good,286.0,Gas,Non flood zone,Yes,931.0
18,20402991,2018,335000,apartment,,2.0,111.0,Not installed,,,4.0,,,,,189.0,Gas,Non flood zone,,894.0
19,20402989,2000,209500,apartment,1974.0,1.0,52.0,Semi equipped,,,,,,,To be done up,210.0,Gas,Non flood zone,,
20,20402990,2018,360000,apartment,1968.0,2.0,113.0,Installed,,,,,,,To be done up,247.0,Fuel oil,Non flood zone,Yes,1551.0
22,20390825,9190,350000,house,1988.0,3.0,150.0,Semi equipped,,,,,4.0,,To renovate,391.0,,Non flood zone,Yes,
23,20390168,2100,209000,apartment,2015.0,1.0,70.0,Not installed,,,,,,,Good,88.0,Gas,Non flood zone,Yes,864.0
24,20402988,2900,395000,house,1949.0,3.0,165.0,Installed,,,,,2.0,,As new,159.0,Gas,,Yes,738.0
25,20402986,2490,570000,house,2024.0,4.0,230.0,Installed,0.0,,,,4.0,,As new,27.0,,,Yes,1250.0
26,20402984,5377,219000,house,,2.0,80.0,Semi equipped,0.0,,40.0,,3.0,0.0,Good,191.0,Fuel oil,Non flood zone,Yes,277.0
27,20402975,9340,895000,house,1919.0,3.0,318.0,Hyper equipped,,,,,4.0,,Good,,Gas,Non flood zone,,986.0
28,20402971,8552,299000,house,,2.0,,Installed,,,,,,,,,,,Yes,323.0
29,20402970,3800,160000,house,1918.0,2.0,135.0,,0.0,,,,2.0,0.0,,344.0,Gas,Non flood zone,Yes,282.0
30,20402969,3520,340000,apartment,2019.0,2.0,85.0,,0.0,,,,4.0,0.0,,87.0,Gas,Non flood zone,Yes,873.0
31,20402966,3970,359000,house,2024.0,4.0,204.0,Hyper equipped,0.0,,,,2.0,,Good,,Gas,Non flood zone,Yes,1.0
32,20402964,8780,399000,house,,3.0,210.0,1,0.0,,,,2.0,0.0,Good,,,Non flood zone,Yes,1.0
33,20397772,1050,695000,apartment,1932.0,2.0,150.0,Installed,0.0,,,,2.0,0.0,Just renovated,236.0,Gas,Non flood zone,Yes,2000.0
34,20401109,3120,319000,house,1956.0,3.0,185.0,Semi equipped,,,20.0,260.0,,,To renovate,499.0,Fuel oil,Non flood zone,Yes,903.0
36,20402282,8400,395000,apartment,1954.0,1.0,78.0,1,0.0,,2.0,,,,As new,222.0,Gas,Non flood zone,Yes,862.0
37,20402883,8301,895000,apartment,2020.0,2.0,102.0,Hyper equipped,0.0,,13.0,,2.0,,Good,44.0,Gas,Non flood zone,Yes,
38,20399686,9600,370000,house,2020.0,3.0,150.0,Installed,,,,360.0,3.0,,Good,67.0,Gas,Non flood zone,Yes,791.0
39,20401344,8430,115000,apartment,1969.0,1.0,26.0,Semi equipped,1.0,,,,2.0,,Just renovated,265.0,Gas,Non flood zone,Yes,327.0
40,20401336,9600,230000,apartment,1952.0,2.0,128.0,Installed,,,4.0,,3.0,,Just renovated,326.0,Fuel oil,Non flood zone,Yes,857.0
41,20402962,8581,235000,house,1918.0,3.0,131.0,,0.0,,,,4.0,0.0,,501.0,Pellet,Non flood zone,Yes,215.0
42,20402961,8530,245000,apartment,,3.0,143.0,,0.0,,,,2.0,0.0,,136.0,Gas,Non flood zone,Yes,1187.0
43,20402960,8510,297700,house,,3.0,256.0,,0.0,,,,4.0,,,812.0,Gas,Non flood zone,Yes,986.0
44,20402955,1760,299000,apartment,1991.0,2.0,111.0,,0.0,,,,2.0,,,140.0,Gas,Non flood zone,Yes,991.0
45,20402954,2530,240000,apartment,1979.0,3.0,88.0,1,0.0,,7.0,,3.0,0.0,,144.0,Gas,Non flood zone,Yes,1.0
46,20402953,2660,349000,house,1930.0,3.0,173.0,1,0.0,,,,2.0,0.0,,198.0,Gas,Non flood zone,Yes,1241.0
47,20402608,1745,695000,house,1995.0,7.0,279.0,Hyper equipped,,,,,4.0,,Good,183.0,Gas,Non flood zone,Yes,2104.0
48,20402942,1785,325000,apartment,2019.0,2.0,85.0,Installed,,,19.0,,2.0,,Good,,Gas,Non flood zone,Yes,941.0
49,20402940,1030,159000,apartment,,1.0,47.0,1,0.0,,,,,,,869.0,Gas,,Yes,
50,20183807,8670,535000,house,1990.0,3.0,153.0,,1.0,,,,,,,468.0,,Non flood zone,Yes,822.0
51,20402938,8370,319000,house,1930.0,4.0,160.0,,0.0,,,,,,Just renovated,,,Non flood zone,,705.0
52,20402934,2600,265000,apartment,,3.0,115.0,Installed,0.0,,33.0,,2.0,0.0,To be done up,150.0,,Non flood zone,,1653.0
53,20402931,2627,414000,house,1973.0,5.0,200.0,Hyper equipped,0.0,,,87.0,2.0,0.0,As new,182.0,Gas,Non flood zone,Yes,815.0
54,20402930,9120,495000,house,1978.0,3.0,205.0,Hyper equipped,0.0,1.0,20.0,250.0,3.0,1.0,As new,277.0,,,,
55,20402924,2020,245000,apartment,1952.0,2.0,96.0,Hyper equipped,,,,,,,,132.0,Gas,Non flood zone,Yes,627.0
56,20402916,9890,398000,house,1990.0,3.0,144.0,1,0.0,,,,2.0,,Good,152.0,,Non flood zone,Yes,599.0
57,20284066,8770,469000,house,1899.0,3.0,194.0,,,,,,2.0,,As new,110.0,,,,
58,20314842,8900,230000,house,1971.0,3.0,144.0,,,,,,2.0,,As new,169.0,Gas,,,631.0
59,20279239,8930,149000,house,,2.0,105.0,,,,,,3.0,,,565.0,,,,
60,20319496,8400,299000,apartment,,3.0,125.0,,,,,,3.0,,As new,,,,,
61,20268074,9700,195000,house,,3.0,135.0,,,,,,3.0,,,417.0,,,,431.0
62,20172180,9600,185000,house,,3.0,126.0,,,,,,2.0,,,355.0,Gas,,,475.0
63,20402915,2590,549000,house,,7.0,332.0,,,1.0,,,4.0,,Good,191.0,Gas,,Yes,1191.0
65,20402487,1050,580000,house,2005.0,3.0,135.0,Hyper equipped,0.0,,2.0,20.0,2.0,0.0,Good,140.0,Gas,Non flood zone,Yes,
66,20398282,1190,215000,apartment,1964.0,1.0,63.0,Not installed,0.0,,5.0,,2.0,0.0,To renovate,215.0,Gas,Non flood zone,Yes,
67,20396673,9000,435000,apartment,1759.0,1.0,67.0,Installed,,,15.0,31.0,,,Good,78.0,Gas,Non flood zone,Yes,
68,20401037,2660,349900,house,1960.0,3.0,136.0,1,,,16.0,25.0,,,To renovate,534.0,,Non flood zone,Yes,959.0
