Property ID,Locality name,Postal code,price,Type of property,Subtype of property,Construction year,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Garden orientation,Number of facades,Swimming pool,State of builing,Energy class,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
20401029,Berchem,2600,299900,apartment,,1965,3,,100,Installed,,,3,,,,,Good,B,144,Fuel oil,Non flood zone,Yes,892
20402124,Temse,9140,285000,apartment,,1976,3,,100,Installed,,,,,,2,,Good,B,131,Gas,Non flood zone,Yes,941
20400229,Aalst,9300,229000,apartment,,2000,2,,86,Installed,,,4,,,2,,Good,A,99,Gas,Non flood zone,Yes,847
20403393,Boom,2850,189000,apartment,,1995,2,,75,Semi equipped,,,4,,,,,,C,241,Gas,Non flood zone,Yes,706
11372260,Bruxelles,1000,255000,apartment,,1890,1,,52,USA hyper equipped,,,2,,,2,,,Not specified,,Gas,,Yes,
11416816,Bruxelles,1000,255000,apartment,,1890,1,,55,USA hyper equipped,,,2,,,2,,Good,G,375,Gas,,Yes,
20377299,Gesves,5340,215000,apartment,,1936,2,,115,Hyper equipped,,,,3000,South West,3,1,Good,B,103,Gas,,Yes,900
20403383,Zelzate,9060,189000,house,,1943,2,140,136,,,1,,1,,2,,To renovate,C,,Gas,Non flood zone,Yes,395
20231838,Andenne,5300,475000,house,,1900,4,2266,214,Hyper equipped,,1,,,,4,1,Good,E,342,Fuel oil,Non flood zone,Yes,884
20403377,Boom,2850,469000,house,,,4,200,210,Semi equipped,,,,100,South West,3,,Good,C,262,Gas,Non flood zone,Yes,842
20403376,Schelle,2627,449000,house,,1990,4,315,186,Semi equipped,,1,,85,,3,,Good,C,253,Gas,Non flood zone,Yes,959
20167399,Wasmes,7340,60000,house,,,1,391,59,,,,,,,3,,,G,1012,,,,220
20403373,Evere,1140,230000,apartment,,1966,1,,63,Installed,,,2,,,3,,As new,E,243,Gas,Non flood zone,Yes,
11468906,Hoogstraten,2320,495000,apartment,,2015,2,,119,Installed,,,25,,,3,,As new,B,109,Gas,Non flood zone,Yes,
20403364,Zeebrugge,8380,280000,apartment,,1995,2,,89,Installed,0,,20,,,2,0,Good,C,279,Gas,,,
20403363,Mechelen,2800,295000,house,,,4,,,,0,,,,,4,,Good,F,754,Gas,,,1762
20403362,Brussel,1000,444000,apartment,,2025,2,,104,Hyper equipped,0,,8,,,4,0,As new,A,45,,,,
20403358,Brussel,1000,356000,apartment,,2025,2,,100,Installed,0,,8,,,4,0,As new,Not specified,,,,,
20403352,Brussel,1000,379000,apartment,,2022,2,,100,Installed,0,,8,,,4,0,As new,A,45,Gas,,,
20403355,Brussel,1000,380000,apartment,,2025,2,,97,Hyper equipped,0,,7,,,4,0,As new,A,45,Gas,,,
20403354,Brussel,1000,379000,apartment,,2022,2,,100,Installed,0,,8,,,4,0,As new,A,45,Gas,,,
20403361,Brussel,1000,350000,apartment,,2025,2,,95,Installed,0,,5,,,4,0,As new,A,45,,,,
20403351,Brussel,1000,377000,apartment,,2025,2,,93,Hyper equipped,0,,8,,,4,0,As new,A,45,Gas,,,
20403350,Brussel,1000,412000,apartment,,2025,2,,107,Hyper equipped,0,,10,,,4,0,As new,A,45,Gas,,,
20403345,Zutendaal,3690,549000,house,,2024,4,419,190,Hyper equipped,,,,,,4,,As new,A,,,,,
20403344,Esneux,4130,249000,apartment,,,2,,90,Installed,0,,,,,3,0,As new,D,332,Fuel oil,,Yes,971
20401180,Oupeye,4683,149000,house,,1850,4,730,134,Installed,0,,40,570,,2,0,To be done up,C,220,Gas,Non flood zone,Yes,366
20403083,Oupeye,4680,174000,house,,1918,4,235,129,Installed,0,,,56,,3,0,Good,F,467,Gas,Non flood zone,Yes,399
20390069,Stekene,9190,275000,house,,,3,294,120,Hyper equipped,,,30,150,,3,,Good,B,117,Gas,Non flood zone,,561
20397088,Koekelberg,1081,325000,apartment,,1967,3,,151,Installed,0,,7,,,2,0,Good,D,208,Fuel oil,Non flood zone,Yes,1891
20403341,Verviers%20heusy,4802,455000,apartment,,,2,,125,,0,,10,,,4,,,Not specified,,,,,
20403340,Rotselaar,3110,599000,house,,1981,5,1666,240,Hyper equipped,0,,,,,4,,Good,C,,Fuel oil,,Yes,1732
20403339,Roosdaal,1760,457358,house,,,3,235,150,Hyper equipped,0,,,,,3,,As new,Not specified,,,,Yes,
20403338,Merelbeke,9820,539505,house,,2024,3,222,213,Installed,,,,,,2,,As new,Not specified,,,Non flood zone,,
20403336,Namur,5001,389000,house,,1980,4,578,287,Installed,0,,36,300,,4,,Good,D,285,Fuel oil,Non flood zone,Yes,1896
20403332,Oupeye,4040,619000,house,,,4,,335,Hyper equipped,,,,,,2,1,As new,B,101,Gas,Non flood zone,,
20403331,Laakdal%20veerle,2431,420000,house,,1977,3,1270,210,1,,,21,,,4,,Good,D,315,Fuel oil,Non flood zone,,1063
20403324,Woluwe-saint-lambert,1200,427700,apartment,,2024,2,,98,Hyper equipped,0,,9,,,2,0,As new,A,45,,Non flood zone,Yes,
20403320,Hamme,9220,239000,house,,,3,95,100,Hyper equipped,0,,,,,2,,Good,C,294,,,,
20403319,Antwerpen,2000,595000,apartment,,2004,2,,120,Hyper equipped,,,,,,2,,Just renovated,B,118,Gas,Non flood zone,Yes,
20403318,Berlaar,2590,279000,apartment,,2003,2,,111,Hyper equipped,,,8,,,2,,,A,91,Gas,,Yes,856
20403317,Knokke-heist,8300,590000,apartment,,1996,2,,75,Hyper equipped,0,,8,,,2,,,B,110,,Non flood zone,Yes,
20403316,Knokke-heist,8300,675000,apartment,,2022,2,,87,Hyper equipped,1,,8,,,,0,As new,A,51,Gas,Non flood zone,Yes,
20403311,Keerbergen,3140,699000,house,,1992,3,1380,255,Hyper equipped,0,,,,,4,1,As new,B,194,Fuel oil,Non flood zone,Yes,
20403285,Fl%c3%a9ron,4620,184000,apartment,,2025,1,,57,,,,9,,,,0,As new,A+,35,,,,
20403241,Li%c3%a8ge,4000,255000,apartment,,2025,1,,75,Hyper equipped,,,,,,,0,As new,A+,35,,,,
20403218,Huizingen,1654,339000,house,,1933,3,202,130,Semi equipped,,1,,25,East,3,,To be done up,E,498,Fuel oil,Non flood zone,,
20403214,De%20haan,8420,265000,apartment,,1988,2,,80,Installed,,,1,,,2,0,As new,Not specified,,Electric,Non flood zone,Yes,872
20403207,Temse,9140,199000,apartment,,1968,3,,92,1,0,,,,,2,,,D,332,Gas,Non flood zone,Yes,770
20403206,Antwerpen,2000,339000,apartment,,1900,2,,104,Installed,,,11,,,2,,Good,C,254,Gas,Non flood zone,Yes,259
20403205,Anderlecht,1070,449000,house,,,3,30,130,1,,1,7,,,,,Good,F,292,Gas,,Yes,
20397772,Ixelles,1050,695000,apartment,,1932,2,,150,Installed,0,,,,,2,0,Just renovated,E,236,Gas,Non flood zone,Yes,2000
20401109,Tremelo,3120,319000,house,,1956,3,500,185,Semi equipped,,,20,260,West,,,To renovate,E,499,Fuel oil,Non flood zone,Yes,903
20403206,Antwerpen,2000,339000,apartment,,1900,2,,104,Installed,,,11,,,2,,Good,C,254,Gas,Non flood zone,Yes,259
20402990,Antwerpen-2018,2018,360000,apartment,,1968,2,,113,Installed,,,,,,,,To be done up,C,247,Fuel oil,Non flood zone,Yes,1551
20402282,Oostende,8400,395000,apartment,,1954,1,,78,1,0,,2,,,,,As new,C,222,Gas,Non flood zone,Yes,862
20402883,Heist-aan-zee,8301,895000,apartment,,2020,2,,102,Hyper equipped,0,,13,,,2,,Good,A,44,Gas,Non flood zone,Yes,
20399686,Ronse,9600,370000,house,,2020,3,606,150,Installed,,,,360,South,3,,Good,A,67,Gas,Non flood zone,Yes,791
20401344,Middelkerke,8430,115000,apartment,,1969,1,,26,Semi equipped,1,,,,,2,,Just renovated,C,265,Gas,Non flood zone,Yes,327
20401336,Ronse,9600,230000,apartment,,1952,2,,128,Installed,,,4,,,3,,Just renovated,D,326,Fuel oil,Non flood zone,Yes,857
20402916,Gavere,9890,398000,house,,1990,3,330,144,1,0,,,,,2,,Good,B,152,,Non flood zone,Yes,599
20402487,Ixelles,1050,580000,house,,2005,3,83,135,Hyper equipped,0,,2,20,,2,0,Good,C,140,Gas,Non flood zone,Yes,
20403023,Hotton,6990,595000,house,,1992,4,3291,243,Installed,0,,150,3291,,4,1,As new,C,175,Fuel oil,Non flood zone,Yes,1925
20398282,Forest,1190,215000,apartment,,1964,1,,63,Not installed,0,,5,,,2,0,To renovate,E,215,Gas,Non flood zone,Yes,
20396673,Gent,9000,435000,apartment,,1759,1,,67,Installed,,,15,31,,,,Good,A,78,Gas,Non flood zone,Yes,
20401037,Hoboken,2660,349900,house,,1960,3,206,136,1,,,16,25,North,,,To renovate,F,534,,Non flood zone,Yes,959
20393411,Antwerpen-2000,2000,498500,apartment,,2017,2,,129,Hyper equipped,0,,10,1400,South West,,,As new,A,61,Gas,Non flood zone,Yes,1190
20394756,Kluisbergen,9690,179000,house,,1965,3,435,160,Semi equipped,,,,380,South East,3,,To renovate,E,422,Gas,Non flood zone,Yes,
20402375,Heist-aan-zee,8301,545000,apartment,,2007,3,,120,Installed,,,13,,,2,,Good,A,78,Gas,Non flood zone,Yes,898
20403204,Anthisnes,4162,358705,house,,,3,1468,189,,,,,600,East,4,0,As new,Not specified,,,Non flood zone,Yes,
20403197,Heers,3870,239000,house,,1936,3,735,190,Semi equipped,,,,,,2,,Good,D,,Fuel oil,,Yes,370
20403195,Ekeren,2180,499000,house,,1972,6,366,241,Installed,,,,,,3,,,A,83,Gas,Non flood zone,Yes,1621
20403194,Gent,9000,299000,apartment,,2011,1,,61,Installed,,,5,,,2,0,As new,A,65,Gas,Non flood zone,Yes,714
20403190,Bredene,8450,179000,apartment,,,1,,58,,,,,,,,,Good,B,164,Gas,,Yes,
20403188,Seraing%20boncelles,4100,249000,apartment,,2025,1,,79,Hyper equipped,,,17,,,,0,As new,A+,35,,,,
20403187,Ransart,6043,220000,house,,,3,,145,,,,,,,2,,,G,605,Fuel oil,Non flood zone,Yes,
20403184,Heusy,4802,485000,apartment,,2024,2,,133,Hyper equipped,0,,18,,,2,0,As new,A+,,,Non flood zone,Yes,
20403140,Li%c3%a8ge,4020,265000,house,,,6,465,,,,,,,,2,,,Not specified,,,,No,8
20403120,Oudenaarde,9700,198000,house,,,3,159,96,,,,,,,,,,F,633,Electric,,Yes,
20403115,Auvelais,5060,225000,apartment,,,2,,85,Hyper equipped,,,20,,,2,,Good,A,48,Gas,,Yes,
20403110,Poperinge,8970,160000,apartment,,,2,,96,1,,,,,,,,Good,C,284,Electric,Non flood zone,Yes,790
20403103,Brugge,8310,300000,apartment,,1978,3,,121,,,,,,,3,,Good,C,218,Gas,Non flood zone,Yes,1051
20403097,Beveren-leie,8791,402000,house,,2023,3,266,217,,0,,,186,,,,Good,Not specified,,,,,
20403092,Beveren-leie,8791,410000,house,,2023,3,280,201,,0,,,190,,,,Good,Not specified,,,,,
20403087,Westerlo,2260,453984,house,,2024,3,339,183,Installed,0,,,,,,,Good,Not specified,,Electric,Non flood zone,Yes,
20403086,Westende,8434,495000,apartment,,1986,3,,104,,1,,,,,,,Just renovated,C,213,,Non flood zone,,1056
