Property ID,Locality name,Postal code,price,Type of property,Subtype of property,Construction year,Number of rooms,Surface of the plot,Living area,kitchen,furnished,Open fire,Terrace,Garden,Garden orientation,Number of facades,Swimming pool,State of builing,Energy class,Primary energy consumption,Heating type,Flood zone type,Double glazing,cadastral_income
20394069,Tienen,3300,184000,apartment,,1972,2,,81,1,,,22,,,4,,To renovate,C,202,Gas,Non flood zone,Yes,755
20393142,Ninove,9400,299000,apartment,,2006,3,,153,Installed,,,6,,,2,,Good,A,92,Fuel oil,Non flood zone,Yes,1054
20393714,Ronse,9600,465000,house,,1962,4,800,389,Hyper equipped,,1,22,650,South,4,,To be done up,B,175,Gas,Non flood zone,Yes,1971
20394068,Brussel,1000,210000,apartment,,2013,1,,59,Installed,1,,3,,,2,,Good,E,234,Electric,Possible flood zone,Yes,920
20394202,Turnhout,2300,299000,apartment,,2006,3,,114,Semi equipped,,,4,,,,,Good,B,147,Gas,Non flood zone,Yes,
20393411,Antwerpen-2000,2000,498500,apartment,,2017,2,,129,Hyper equipped,0,,10,1400,South West,,,As new,A,61,Gas,Non flood zone,Yes,1190
20391562,Merksem,2170,155000,apartment,,1968,1,,73,Semi equipped,,,11,,,2,,To be done up,B,187,Gas,Non flood zone,,793
20393997,Saint-gilles,1060,265000,apartment,,1960,2,,63,Not installed,,,,,,2,0,Just renovated,G,419,,Non flood zone,,
20393133,Geraardsbergen,9500,384000,apartment,,1969,3,,252,Installed,,,,,,2,,Good,B,184,Gas,Non flood zone,Yes,775
20392783,Ronse,9600,465000,house,,1992,4,660,324,Hyper equipped,0,,20,340,,3,0,Good,B,170,Gas,Non flood zone,Yes,1290
20394238,Tongeren,3700,490000,house,,2003,4,,406,1,,,,390,South West,4,,As new,B,126,Fuel oil,Non flood zone,Yes,1144
20394236,Westende,8434,370000,apartment,,1991,2,,74,Installed,1,,,,,,,Good,B,167,Electric,Non flood zone,Yes,989
20394234,Sint-andries,8200,339000,house,,1932,2,406,140,,,,,,,4,,Good,D,392,,,Yes,453
20394232,Oostende,8400,198000,apartment,,1999,2,,75,Installed,,,,,,3,0,Good,C,220,Electric,Non flood zone,Yes,991
20394231,Kortrijk,8500,245000,house,,,3,90,140,,,,,,,2,,As new,B,184,Gas,Non flood zone,Yes,550
20394230,Kortrijk,8500,495000,house,,1952,3,315,160,,,,,,,3,,As new,C,291,Gas,Non flood zone,Yes,999
